,'"'
'"Project-Id-Version: PROJECT VERSION\n'"'
'"Report-Msgid-Bugs-To: EMAIL@ADDRESS\n'"'
'"POT-Creation-Date: 2018-10-12 18:50-0500\n'"'
'"PO-Revision-Date: YEAR-MO-DA HO:MI+ZONE\n'"'
'"Last-Translator: FULL NAME <EMAIL@ADDRESS>\n'"'
'"Language: es\n'"'
'"Language-Team: es <LL@li.org>\n'"'
'"Plural-Forms: nplurals=2; plural=(n != 1)\n'"'
'"MIME-Version: 1.0\n'"'
'"Content-Type: text/plain; charset=utf-8\n'"'
'"Content-Transfer-Encoding: 8bit\n'"'
'"Generated-By: Babel 2.8.0\n
Scouting reports,Reportes de exploración
Density,Densidad
Expected Completion,Expectativa de termino
Tax Id:,RFC:
Invalid cost,Formato de primer nombre invalido
Company name*,Nombre de la compañía
Agrosuite: Request a demo,Agrosuite: Solicita un demo
Department,Departamento
Progress,Progreso
Suggested equipment,Equipo sugerido
ID Currency does not exists,El identificador de moneda no existe
Sucess,Exito
Today,Hoy
Sorry! You can''t draw that!,¡Lo sentimos!', no puedes hacer eso
Agrosuite Checkin,Registro Agrosuite
Carto API call,Llamada Carto API
Please select a field to enable button,Por favor', seleccione un campo para habilitar el botón
Jobs Overview,Resumen de trabajos
Click cancel to undo changes,Da click en cancelar para descartar cambios
Scouting report,Reporte de exploración
Add New,Agregar nuevo
Select a category,Selecciona una categoría
Measure distance,Medir distancia
Buyer,Comprador
 Cost per hour: *,Costo por hora: *
Quantity,Cantidad
Purchase Order Status,Estatus de la orden de compra
Project settings inputs are required.,Datos para ajustes del proyecto son requeridos
Available quantity,Cantidad disponible
New record,Nuevo registro
WEEK,SEMANA
ID Project does not exists,El identificador del proyecto no existe
Agrosuite: Password recovery,Agrosuite: Recuperar contraseña
e.i. Walmart,ej. Walmart de México SA de CV
Type your firstname,Ingresa tu nombre
Invalid details format,
Sale,Venta
DemoRequest added,Solicitud de demo procesada
jobtypes,
Amount,Cantidad
NEW FIELD,Nuevo campo
e.i. 456 Conrad Street,ej. Paseo de los tulipanes  #43
Select all blocks,Seleccionar todos las parcelas
Type the state,Ingresa el estado
Error sending help data', please try again later.,
cropBlocks updated,
Pruning required,Poda requerida
Refreshing Field Plan Data,Recargando los datos del plan de campo
All Crops,Todas los cultivos
Polygon is required,
Tax,Impuesto
